,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
100,Alihe,95,CN,1570055413,47,50.57,123.73,36.18,5.19
101,San Cristobal,91,HN,1570055414,75,14.68,-86.92,71.3,1.54
102,Kaitong,57,CN,1570055414,48,44.81,123.15,52.27,18.59
103,Muisne,40,EC,1570055418,83,0.61,-80.02,78.8,11.41
104,Noumea,75,NC,1570055186,49,-22.28,166.46,73.99,14.99
105,Atuona,52,PF,1570055419,71,-9.8,-139.03,79.49,6.46
106,Batagay-Alyta,100,RU,1570055419,74,67.8,130.41,11.41,5.1
107,Touros,0,BR,1570055419,78,-5.2,-35.46,75.2,5.82
108,Morondava,31,MG,1570055420,78,-20.3,44.28,77.27,10.78
109,Carnarvon,3,ZA,1570055420,31,-30.97,22.13,52.58,3.56
110,Manjacaze,0,MZ,1570055421,90,-24.71,33.88,59.31,2.75
111,Vrangel,100,RU,1570055421,73,42.73,133.08,65.93,2.71
112,Torbay,90,CA,1570055208,86,47.66,-52.73,44.01,17.22
113,Castro,0,CL,1570055422,43,-42.48,-73.76,50.0,6.93
114,Harnoli,84,PK,1570055422,56,32.28,71.55,79.15,4.99
115,Lavrentiya,56,RU,1570055422,73,65.58,-170.99,37.58,13.78
116,Mporokoso,2,ZM,1570055423,82,-9.37,30.12,65.29,6.33
117,Flin Flon,75,CA,1570055423,49,54.77,-101.88,46.4,4.7
118,Kruisfontein,100,ZA,1570055424,62,-34.0,24.73,61.24,15.99
119,Coahuayana,99,MX,1570055424,85,18.62,-100.35,76.36,1.81
120,Point Fortin,20,TT,1570055424,70,10.16,-61.68,84.2,9.17
121,Santa Cruz del Norte,75,CU,1570055425,94,23.15,-81.92,80.6,4.7
122,Haines Junction,9,CA,1570055425,58,60.75,-137.51,41.62,5.39
123,Sola,53,TZ,1570055426,66,-3.17,33.8,70.88,4.59
124,Tura,100,RU,1570055426,95,64.27,100.22,33.35,6.76
125,Coquimbo,0,CL,1570055426,66,-29.95,-71.34,62.01,13.87
126,Auchi,34,NG,1570055427,99,7.07,6.27,70.92,4.9
127,Victoria,75,BN,1570055427,94,5.28,115.24,77.0,2.24
128,Ayna,0,ES,1570055427,54,38.55,-2.07,57.99,5.82
129,Zhob,0,PK,1570055428,26,31.34,69.45,58.27,4.41
130,Abu Samrah,0,SY,1570055428,92,35.3,37.18,64.98,6.4
131,Nikolskoye,75,RU,1570055428,81,59.7,30.79,42.8,4.47
132,Novocheboksarsk,75,RU,1570055429,62,56.11,47.49,53.6,17.9
133,Comodoro Rivadavia,0,AR,1570055429,54,-45.87,-67.48,51.8,8.05
134,Nome,1,US,1570055429,41,30.04,-94.42,91.99,9.17
135,Tiksi,100,RU,1570055430,89,71.64,128.87,24.75,25.75
136,Cherskiy,16,RU,1570055430,68,68.75,161.3,24.55,16.71
137,Shingu,21,JP,1570055430,74,33.72,135.99,70.36,11.54
138,Mnogovershinnyy,77,RU,1570055431,60,53.94,139.92,36.5,15.95
139,Saldanha,57,PT,1570055431,57,41.42,-6.55,58.25,2.77
140,Presidencia Roque Saenz Pena,100,AR,1570055431,83,-26.79,-60.44,59.89,6.29
141,Kavaratti,13,IN,1570055432,76,10.57,72.64,81.41,6.55
142,Geraldton,75,CA,1570055435,64,49.72,-86.95,37.4,9.17
143,Yeppoon,56,AU,1570055435,60,-23.13,150.74,69.8,13.87
144,Finschhafen,70,PG,1570055436,90,-6.6,147.85,70.81,2.84
145,Atar,0,MR,1570055436,10,20.52,-13.05,95.74,10.8
146,Punta Cardon,21,VE,1570055437,80,11.61,-70.22,84.4,22.88
147,Abalak,96,NE,1570055437,36,15.46,6.28,89.35,6.35
148,Coruripe,1,BR,1570055438,85,-10.12,-36.18,72.25,10.67
149,Chuy,86,UY,1570055435,77,-33.69,-53.46,56.56,22.3
150,Leningradskiy,100,RU,1570055439,84,69.38,178.42,31.05,14.36
151,Yar-Sale,100,RU,1570055141,93,66.83,70.83,46.34,14.12
152,Madang,100,CN,1570055440,94,35.32,102.79,41.15,4.74
153,Nalut,0,LY,1570055440,23,31.86,10.98,74.59,11.79
154,Tigil,95,RU,1570055440,75,57.8,158.67,41.33,3.71
155,Akureyri,0,IS,1570055436,73,65.68,-18.09,32.0,8.05
156,Sylacauga,75,US,1570055441,32,33.17,-86.25,98.6,3.38
157,Araceli,65,PH,1570055441,75,10.55,119.99,82.22,0.76
158,Tuktoyaktuk,75,CA,1570055442,86,69.44,-133.03,39.2,12.75
159,Atbasar,26,KZ,1570055442,46,51.81,68.36,40.05,6.06
160,Kupang,0,ID,1570055442,67,-10.16,123.6,77.51,5.46
161,Port Augusta,90,AU,1570055443,87,-32.49,137.76,64.0,12.75
162,Vardo,20,US,1570055443,36,39.62,-77.74,91.4,11.41
163,Karpathos,4,GR,1570055444,88,35.51,27.21,71.6,5.82
164,Juegang,10,CN,1570055444,88,32.31,121.18,73.0,4.54
165,Santander,40,PH,1570055444,83,9.42,123.33,77.0,4.7
166,Ballina,100,IE,1570055445,84,54.11,-9.15,50.0,5.01
167,Iqaluit,40,CA,1570055351,93,63.75,-68.52,35.6,8.05
168,Kapaa,40,US,1570055445,70,22.08,-159.32,84.2,16.11
169,Luderitz,0,NA,1570055445,93,-26.65,15.16,55.37,21.09
170,Praia da Vitoria,75,PT,1570055446,82,38.73,-27.07,68.0,11.95
171,Puerto Colombia,40,CO,1570055446,74,10.99,-74.96,86.0,9.17
172,Lompoc,1,US,1570055447,37,34.64,-120.46,80.6,14.99
173,Empalme,20,MX,1570055447,58,27.96,-110.81,91.0,17.22
174,Lorengau,78,PG,1570055447,67,-2.02,147.27,83.97,3.85
175,Nago,0,IT,1570055448,77,45.88,10.89,64.4,5.82
176,Isla Mujeres,75,MX,1570055425,74,21.23,-86.73,84.2,5.82
177,Bambous Virieux,75,MU,1570055448,94,-20.34,57.76,73.99,12.75
178,Nishihara,90,JP,1570055448,82,35.74,139.53,77.0,9.13
179,Taunggyi,85,MM,1570055449,96,20.78,97.03,64.17,0.94
180,Gongzhuling,0,CN,1570055449,73,43.5,124.81,55.84,13.06
181,Gedo,91,ET,1570055450,97,9.01,37.45,55.78,0.51
182,Airai,0,TL,1570055450,36,-8.93,125.41,84.2,2.37
183,Verkhnevilyuysk,39,RU,1570055450,85,63.45,120.31,26.32,2.71
184,Johi,83,PK,1570055450,45,26.69,67.61,82.78,6.51
185,Teguise,0,ES,1570055451,83,29.06,-13.56,75.2,14.99
186,Jalu,0,LY,1570055341,28,29.03,21.55,78.61,11.3
187,Caravelas,0,BR,1570055451,74,-17.73,-39.27,72.09,10.33
188,Prince Rupert,90,CA,1570055452,93,54.32,-130.32,51.8,2.24
189,Beringovskiy,100,RU,1570055452,91,63.05,179.32,33.57,3.27
190,Tromso,20,NO,1570055452,74,69.65,18.96,33.8,4.7
191,Okhotsk,6,RU,1570055453,39,59.36,143.24,33.61,19.89
192,Sao Miguel do Araguaia,13,BR,1570055453,64,-13.28,-50.16,78.79,7.9
193,Winslow,28,GB,1570055453,75,51.94,-0.88,45.0,6.93
194,San Pedro,3,AR,1570055454,55,-33.68,-59.66,60.01,4.0
195,Guiratinga,99,BR,1570055454,73,-16.35,-53.76,76.99,3.22
196,Santa Ana,0,MX,1570055370,45,30.54,-111.12,89.01,1.01
197,Windhoek,0,NA,1570055454,9,-22.57,17.08,62.6,10.29
198,Clinton,75,US,1570055314,69,41.28,-72.53,82.4,10.29
199,Maceio,0,BR,1570055215,83,-9.67,-35.74,75.2,8.05
200,Kamenka,99,MD,1570055455,71,48.03,28.7,59.0,4.0
201,Richards Bay,0,ZA,1570055456,75,-28.77,32.06,66.2,24.56
202,Semey,0,KZ,1570055456,64,50.41,80.25,31.86,6.04
203,Norrtalje,75,SE,1570055456,93,59.76,18.7,45.0,11.41
204,Pacific Grove,1,US,1570055318,49,36.62,-121.92,82.0,3.36
205,Wilmington,1,US,1570055390,40,39.75,-75.55,90.0,6.93
206,Alice Town,0,BS,1570055457,81,25.72,-79.3,80.64,17.92
207,Fare,55,PF,1570055458,79,-16.7,-151.02,76.82,17.36
208,Gombe,96,NG,1570055458,83,10.28,11.16,73.31,6.4
209,Kaitangata,86,NZ,1570055458,63,-46.28,169.85,46.99,11.01
210,Reconquista,100,AR,1570055459,93,-29.14,-59.64,59.04,12.59
211,Hithadhoo,98,MV,1570055459,80,-0.6,73.08,82.3,17.07
212,Ruidoso,75,US,1570055459,32,33.33,-105.67,82.99,8.05
213,Kaspiysk,75,RU,1570055460,88,42.88,47.64,66.2,12.01
214,Yenagoa,100,NG,1570055460,96,4.92,6.26,72.54,3.27
215,Tautira,20,PF,1570055461,61,-17.73,-149.15,82.4,6.93
216,Canchungo,20,GW,1570055461,88,12.07,-16.03,77.0,3.36
217,Pokaran,71,IN,1570055462,56,26.93,71.92,85.18,10.27
218,Constitucion,75,MX,1570055462,27,23.99,-104.67,77.0,2.24
219,Sistranda,75,NO,1570055462,81,63.73,8.83,48.0,8.05
220,Rio Grande,75,BR,1570055440,88,-32.03,-52.1,66.2,9.17
221,Kurumkan,0,RU,1570055463,59,54.33,110.32,22.86,1.74
222,Bethel,90,US,1570055463,81,60.79,-161.76,51.8,9.17
223,New Haven,90,US,1570055251,78,41.31,-72.93,82.4,12.75
224,Huarmey,23,PE,1570055464,79,-10.07,-78.15,61.87,5.08
225,Taltal,0,CL,1570055464,84,-25.41,-70.49,52.22,2.1
226,Tasiilaq,100,GL,1570055464,66,65.61,-37.64,39.2,32.21
227,Basco,90,US,1570055464,88,40.33,-91.2,86.0,11.41
228,Kaoma,100,ZM,1570055465,57,-14.8,24.8,72.95,15.88
229,Sisimiut,80,GL,1570055465,63,66.94,-53.67,41.67,8.79
230,Najran,0,SA,1570055466,33,17.54,44.22,77.0,4.34
231,Saint-Pierre,0,FR,1570055466,86,48.95,4.24,41.0,6.93
232,Qaanaaq,45,GL,1570055467,76,77.48,-69.36,21.92,3.94
233,Muros,0,ES,1570055467,93,42.77,-9.06,60.01,1.12
234,Katsuura,75,JP,1570055467,74,33.93,134.5,78.8,33.33
235,Makakilo City,90,US,1570055468,74,21.35,-158.09,87.8,13.87
236,Tuatapere,77,NZ,1570055468,88,-46.13,167.69,46.99,5.01
237,Chokurdakh,97,RU,1570055468,90,70.62,147.9,26.62,13.49
238,Nsanje,100,MZ,1570055469,83,-16.92,35.26,67.3,9.17
239,Kirakira,100,SB,1570055469,91,-10.46,161.92,75.37,10.65
240,Oksfjord,80,NO,1570055469,80,70.24,22.35,35.6,9.17
241,Weilheim,0,DE,1570055470,81,48.49,9.03,46.99,3.36
242,Coihaique,20,CL,1570055470,49,-45.58,-72.07,48.2,6.93
243,Yermish,91,RU,1570055470,86,54.77,42.27,51.82,7.16
244,Biak,46,ID,1570055470,86,-0.91,122.88,68.69,3.89
245,Banda Aceh,100,ID,1570055471,74,5.56,95.32,81.2,7.65
246,Baykit,100,RU,1570055471,99,61.68,96.39,35.05,4.85
247,Amguri,0,IN,1570055472,92,26.81,94.53,71.91,0.87
248,Nantucket,90,US,1570055440,88,41.28,-70.1,63.0,18.34
249,Sao Filipe,0,CV,1570055472,84,14.9,-24.5,78.52,19.46
250,Hollola,100,FI,1570055473,99,60.99,25.5,37.99,1.01
251,Znamenskoye,43,RU,1570055473,75,57.13,73.82,39.28,8.59
252,Matina,75,CR,1570055473,74,10.08,-83.29,84.2,5.82
253,Panorama,73,BR,1570055474,71,-21.35,-51.86,77.38,5.82
254,Bjornevatn,75,NO,1570055474,80,69.67,29.98,35.6,17.22
255,Qaqortoq,75,GL,1570055474,32,60.72,-46.03,53.6,34.45
256,Udayagiri,97,IN,1570055475,80,12.32,76.68,72.13,0.49
257,Agropoli,97,IT,1570055475,10,40.35,15.0,66.99,3.0
258,Siderno,20,IT,1570055475,78,38.28,16.3,73.99,1.12
259,Wadi Musa,0,JO,1570055476,82,30.32,35.48,62.39,0.58
260,Petropavlovsk-Kamchatskiy,90,RU,1570055476,81,53.05,158.65,48.2,4.47
261,Iskateley,100,RU,1570055476,94,67.68,53.15,34.74,12.62
262,Suoyarvi,73,RU,1570055477,89,62.08,32.35,32.0,9.46
263,Kulu,100,CD,1570055477,99,3.47,23.69,69.14,1.59
264,Zhigansk,51,RU,1570055478,81,66.77,123.37,23.06,4.03
265,Marsh Harbour,0,BS,1570055478,81,26.54,-77.06,79.96,15.88
266,Aksarayskiy,0,RU,1570055478,87,46.79,48.01,51.01,2.24
267,Acapulco,75,MX,1570055479,74,16.86,-99.88,86.0,8.05
268,Igrim,20,RU,1570055479,95,63.19,64.42,40.82,7.78
269,Pori,0,FI,1570055480,81,61.49,21.79,39.2,6.93
270,Hirara,20,JP,1570055480,100,24.8,125.28,77.0,3.36
271,Moron,100,HT,1570055480,75,18.56,-74.26,81.45,3.85
272,Siavonga,36,ZW,1570055481,70,-16.54,28.71,73.8,13.0
273,Fairbanks,90,US,1570055224,100,64.84,-147.72,37.4,8.05
274,Yasnyy,94,RU,1570055481,92,64.04,44.09,34.63,8.84
275,Bertoua,100,CM,1570055482,98,4.58,13.68,67.84,2.91
276,Alugan,70,PH,1570055482,78,12.22,125.48,81.99,1.45
277,Gat,75,SN,1570055482,83,14.69,-16.54,84.2,2.24
278,Timbuktu,92,ML,1570055483,31,16.77,-3.01,93.38,10.45
279,Talnakh,75,RU,1570055483,94,69.49,88.39,33.8,6.71
280,Saskylakh,0,RU,1570055484,83,71.97,114.09,14.81,1.25
281,Maiduguri,82,NG,1570055484,63,11.84,13.15,77.31,15.88
282,Dagda,100,LV,1570055484,91,56.09,27.54,45.94,8.34
283,Khandyga,85,RU,1570055485,65,62.65,135.58,25.16,1.48
284,Sao Jose da Coroa Grande,11,BR,1570055485,94,-8.9,-35.15,70.96,3.71
285,Banja Luka,75,BA,1570055485,87,44.77,17.19,59.0,6.93
286,Alyangula,99,AU,1570055486,94,-13.85,136.42,73.4,12.57
287,Tessalit,0,ML,1570055486,9,20.2,1.01,87.82,6.85
288,Harper,1,US,1570055487,33,30.3,-99.24,91.99,9.17
289,Veraval,0,FR,1570055487,93,49.65,0.71,45.0,3.36
290,Ibiruba,100,BR,1570055335,96,-28.63,-53.09,65.29,12.62
291,Gravelbourg,100,CA,1570055487,95,49.88,-106.56,39.29,7.07
292,Codrington,0,AU,1570055488,72,-28.95,153.24,66.2,5.82
293,Libreville,20,GA,1570055349,83,0.39,9.45,78.8,6.93
294,Carberry,90,CA,1570055489,72,49.87,-99.36,41.0,4.7
295,Lermontovka,95,RU,1570055489,88,47.15,134.34,50.31,12.46
296,Caceres,79,CO,1570055489,98,5.53,-74.53,67.18,2.68
297,Mahebourg,75,MU,1570055490,94,-20.41,57.7,73.99,12.75
298,Kropotkin,0,RU,1570055490,53,45.43,40.58,64.0,8.77
299,Klaksvik,0,FO,1570055490,81,62.23,-6.59,44.6,1.12
300,Natchez,1,US,1570055491,46,31.56,-91.4,95.0,5.82
301,Soma,75,JP,1570055491,88,37.8,140.92,68.0,3.36
302,La Ronge,20,CA,1570055491,56,55.1,-105.3,44.6,11.41
303,Reichenau,20,DE,1570055492,87,49.19,10.51,45.0,6.93
304,Saint-Joseph,0,FR,1570055492,82,43.56,6.97,69.01,3.36
305,Guanica,75,PR,1570055492,88,17.97,-66.91,84.0,8.7
306,Srednekolymsk,97,RU,1570055493,90,67.46,153.71,28.08,18.99
307,Vilhena,20,BR,1570055493,69,-12.74,-60.15,82.4,5.82
308,Bollnas,74,SE,1570055493,86,61.35,16.39,37.0,1.99
309,Nuuk,75,GL,1570055494,37,64.17,-51.74,50.0,12.75
310,Honiara,40,SB,1570055387,74,-9.43,159.96,84.2,110.5
311,Tashara,84,RU,1570055494,87,55.52,83.51,36.99,7.54
312,Cap Malheureux,75,MU,1570055494,94,-19.98,57.61,73.99,12.75
313,Cidreira,100,BR,1570055495,91,-30.17,-50.22,65.25,10.27
314,Crotone,33,IT,1570055495,48,39.09,17.12,68.56,3.47
315,Namibe,33,AO,1570055496,81,-15.19,12.15,64.87,6.06
316,Marawi,76,PH,1570055496,87,8.0,124.29,75.99,7.0
317,Gravdal,83,NO,1570055497,93,59.79,5.78,48.0,3.36
318,Brazzaville,40,CD,1570055497,88,-4.27,15.27,73.4,5.26
319,Newport,71,GB,1570055405,87,51.59,-3.0,46.99,4.7
320,Dunedin,100,NZ,1570055418,61,-45.87,170.5,50.0,18.99
321,San Ignacio,99,PE,1570055498,92,-5.15,-79.0,63.9,1.61
322,Ancud,0,CL,1570055498,43,-41.87,-73.83,50.0,6.93
323,Hami,92,CN,1570055498,30,42.84,93.51,50.22,3.04
324,Yulara,23,AU,1570055499,16,-25.24,130.99,77.0,4.7
325,Westport,90,US,1570055499,69,41.14,-73.36,82.4,4.7
326,Amapa,40,HN,1570055499,66,15.09,-87.97,87.8,13.87
327,Yining,0,CN,1570055500,58,29.04,114.56,73.62,0.49
328,Half Moon Bay,20,US,1570055500,49,37.46,-122.43,77.0,19.46
329,Cap-aux-Meules,75,CA,1570055501,87,47.38,-61.86,42.8,9.17
330,Amargosa,24,BR,1570055501,84,-13.03,-39.6,67.23,13.29
331,Port Blair,21,IN,1570055501,72,11.67,92.75,81.32,3.58
332,Faanui,99,PF,1570055502,76,-16.48,-151.75,77.62,15.12
333,Dayong,40,CN,1570055502,88,25.02,118.29,80.6,6.71
334,Cabedelo,0,BR,1570055503,83,-6.97,-34.84,75.2,5.82
335,Horki,79,BY,1570055503,85,54.29,30.98,53.32,10.33
336,Vaitape,99,PF,1570055503,76,-16.52,-151.75,77.62,15.12
337,Axim,100,GH,1570055504,91,4.87,-2.24,76.05,5.97
338,Bud,83,NO,1570055504,87,62.91,6.91,48.2,5.82
339,Beloha,100,MG,1570055505,81,-25.17,45.06,70.13,11.21
340,Oussouye,20,SN,1570055505,83,12.49,-16.54,78.8,2.24
341,Lagoa,0,PT,1570055505,68,37.14,-8.45,66.2,11.41
342,Hambantota,0,LK,1570055506,100,6.12,81.12,73.4,3.36
343,Cedar City,1,US,1570055338,12,37.68,-113.06,66.2,6.93
344,Puttur,40,IN,1570055222,83,12.76,75.2,78.8,1.3
345,Hualmay,72,PE,1570055507,90,-11.1,-77.61,61.76,13.62
346,Beba,75,CU,1570055507,88,22.44,-79.73,75.2,8.05
347,Eureka,1,US,1570055344,67,40.8,-124.16,70.0,4.7
348,Aleksandrov Gay,0,RU,1570055508,89,50.14,48.57,52.7,2.3
349,Mao,75,DO,1570055508,100,19.55,-71.08,78.01,10.29
350,Port Lincoln,88,AU,1570055509,84,-34.72,135.86,56.97,10.25
351,Popondetta,92,PG,1570055509,68,-8.77,148.24,75.67,4.43
352,West Bay,90,CA,1570055509,76,49.34,-123.21,62.01,5.82
353,Khatanga,0,RU,1570055510,83,71.98,102.47,19.62,7.81
354,Solnechnyy,96,RU,1570055510,76,50.72,136.64,39.19,5.68
355,Semibratovo,90,RU,1570055510,87,57.3,39.54,48.2,6.71
356,Qingquan,76,CN,1570055511,85,34.7,106.0,58.54,3.56
357,Alibag,20,IN,1570055511,83,18.64,72.88,82.4,8.39
358,Przeworsk,40,PL,1570055512,93,50.06,22.49,57.0,6.93
359,Kahta,0,TR,1570055512,29,37.78,38.62,75.2,8.05
360,Ibra,37,OM,1570055512,50,22.69,58.55,77.06,3.62
361,San Jeronimo,44,PE,1570055513,84,-13.65,-73.37,50.18,4.5
362,Leshukonskoye,100,RU,1570055513,86,64.9,45.76,35.12,11.99
363,Vizinga,100,RU,1570055514,94,61.08,50.08,44.42,6.2
364,Kabalo,46,CD,1570055514,86,-6.05,26.92,69.73,1.63
365,Kapit,99,MY,1570055514,97,2.02,112.94,73.98,1.23
366,Souillac,75,FR,1570055515,93,45.6,-0.6,57.99,5.82
367,Ayia Galini,20,GR,1570055515,88,35.1,24.68,71.6,5.82
368,Sitka,67,US,1570055515,95,37.17,-99.65,57.99,15.01
369,Puerto Asis,75,CO,1570055515,66,0.51,-76.5,86.0,4.7
370,Jagatsinghapur,75,IN,1570055516,94,20.27,86.17,77.0,2.77
371,Grindavik,90,IS,1570055516,81,63.84,-22.43,44.6,25.28
372,Zyryanka,100,RU,1570055516,44,65.73,150.89,33.21,16.31
373,Mackay,20,CA,1570055517,41,53.65,-115.58,59.0,3.36
374,Balaipungut,76,ID,1570055517,94,1.11,101.31,73.67,2.01
